county_fips,state_fips,tract_count,population_2020_sum,households_without_vehicle_count_sum,snap_households_count_sum,driving_low_access_population_beyond_1mi_10mi_count_sum,driving_no_vehicle_households_beyond_1mi_count_sum,driving_snap_households_beyond_1mi_count_sum,straight_low_access_population_beyond_1mi_10mi_count_sum,straight_no_vehicle_households_beyond_1mi_count_sum,straight_snap_households_beyond_1mi_count_sum,urban_tract_count,low_income_tract_tract_count,driving_low_income_low_access_tract_count,driving_low_vehicle_access_tract_count,straight_low_income_low_access_tract_count,straight_low_vehicle_access_tract_count
48091,48,33,161501,1595.0,3111.0,20080,886.0,1701.0,7619,653.0,1151.0,14,2,0.0,3.0,0.0,2.0
48093,48,5,13594,277.0,560.0,912,117.0,248.0,192,88.0,200.0,0,2,0.0,0.0,0.0,0.0
48095,48,1,3303,37.0,56.0,1534,23.0,35.0,1292,22.0,33.0,0,1,1.0,0.0,1.0,0.0
48097,48,9,41668,638.0,1561.0,3654,261.0,558.0,1450,172.0,434.0,4,2,1.0,2.0,0.0,2.0
48099,48,19,83093,1509.0,3416.0,34845,469.0,1212.0,25348,325.0,877.0,14,8,6.0,3.0,6.0,1.0
48101,48,1,1380,16.0,172.0,457,8.0,86.0,374,7.0,79.0,0,1,1.0,0.0,0.0,0.0
48103,48,1,4675,193.0,63.0,677,70.0,23.0,575,57.0,19.0,0,1,1.0,1.0,1.0,0.0
48105,48,1,3098,0.0,0.0,723,0.0,0.0,676,0.0,0.0,0,0,0.0,0.0,0.0,0.0
48107,48,3,5133,75.0,466.0,708,28.0,167.0,570,23.0,145.0,0,3,0.0,0.0,0.0,0.0
48109,48,1,2188,45.0,232.0,40,10.0,52.0,34,1.0,7.0,0,1,0.0,0.0,0.0,0.0
48111,48,2,7115,56.0,301.0,1218,20.0,56.0,550,16.0,27.0,1,0,0.0,0.0,0.0,0.0
48113,48,645,2613539,66428.0,103078.0,273038,4383.0,8835.0,86787,1117.0,3064.0,638,345,38.0,64.0,6.0,18.0
48115,48,4,12456,201.0,791.0,4734,39.0,275.0,3338,13.0,179.0,3,3,3.0,0.0,1.0,0.0
